date,y
GMW000000035500001,438320.3300662536
GMW000000035501001,437395.6384062581
GMW000000035502001,437767.2369368879
GMW000000035503001,437820.83760262106
GMW000000035504001,436034.1244434395
GMW000000035505001,430699.27150460443
GMW000000035506001,435446.1235703533
GMW000000035507001,430620.0708731508
GMW000000035508001,435443.92261255614
GMW000000035509001,430567.8714334438
GMW000000035510001,435500.7236270488
GMW000000035511001,430561.4709001231
GMW000000035512001,435972.5296094761
GMW000000035513001,435443.4274585537
GMW000000035514001,430673.6712513323
GMW000000035515001,435663.02691849764
GMW000000035516001,430638.1704808171
GMW000000035517001,430470.2709998489
GMW000000035518001,435543.62744013657
GMW000000035519001,431672.8384017987
GMW000000035520001,435408.5233095113
GMW000000035521001,434264.5738836303
GMW000000035522001,436062.53122052696
GMW000000035523001,431225.0750972134
GMW000000035524001,435425.92333102255
GMW000000035525001,430265.1744282098
GMW000000035526001,435372.7241532942
GMW000000035527001,434727.82268458337
GMW000000035528001,435394.02339711896
GMW000000035529001,432508.1150720494
GMW000000035530001,435377.12353354576
GMW000000035531001,433858.3525258459
GMW000000035532001,434610.5223478669
GMW000000035533001,434522.1271484812
GMW000000035534001,434846.6247424496
GMW000000035535001,433948.42028179695
GMW000000035536001,434147.8227583621
GMW000000035537001,434874.4313295924
GMW000000035538001,433992.92339213565
GMW000000035539001,437860.2289668017
GMW000000035540001,437565.92810648476
GMW000000035541001,433437.82988967426
GMW000000035542001,437668.12849584717
GMW000000035543001,432173.6254942923
GMW000000035544001,442049.31253568886
GMW000000035545001,431627.0275061213
GMW000000035546001,434436.6728875788
GMW000000035547001,442008.9248501829
GMW000000035548001,437563.3299350026
GMW000000035549001,432392.7332337179
GMW000000035550001,444031.3254452726
GMW000000035551001,432067.83116615354
GMW000000035552001,440642.8106913879
GMW000000035553001,439876.6318915347
GMW000000035554001,440640.41103668156
GMW000000035555001,439783.13346994837
GMW000000035556001,442433.7202739706
GMW000000035557001,440299.2299433532
GMW000000035558001,442031.8180850834
GMW000000035559001,440099.23009226855
GMW000000035560001,436376.69051728724
GMW000000035561001,436488.19192700105
GMW000000035562001,440027.8312696398
GMW000000035563001,436338.49133103667
GMW000000035564001,440052.33206102595
GMW000000035565001,439949.9320667436
GMW000000035566001,433033.4896690069
GMW000000035567001,438591.13920110563
GMW000000035568001,432618.79212162376
GMW000000035569001,439148.73616713495
GMW000000035570001,436276.1898833207
GMW000000035571001,439756.3334388638
GMW000000035572001,435078.2922903887
GMW000000035573001,438935.9357479437
GMW000000035574001,434422.19842892647
GMW000000035575001,438879.83758827514
GMW000000035576001,433992.3037725835
GMW000000035577001,432834.88944711443
GMW000000035578001,438636.03651896986
GMW000000035579001,434267.1061539236
GMW000000035580001,438583.9387927627
GMW000000035581001,437463.54402951367
GMW000000035582001,437642.2345118475
GMW000000035583001,437494.7367279241
GMW000000035584001,437053.9390902969
GMW000000035585001,436138.9391774116
GMW000000035586001,436120.23891308764
GMW000000035587001,436575.834909987
GMW000000035588001,436162.43841891823
GMW000000035589001,436385.936373167
GMW000000035590001,436298.4384298115
GMW000000035591001,436140.5522265993
GMW000000035592001,433747.43150189286
GMW000000035593001,433831.1380538465
GMW000000035594001,435912.43733753084
GMW000000035595001,435888.8369523469
GMW000000035596001,434156.2350929307
GMW000000035597001,434185.5370490044
GMW000000035598001,433877.23893923865
GMW000000035599001,434060.7393967234
GMW000000035600001,433594.5338354915
GMW000000035662001,432544.0119984491
GMW000000035663001,433159.91533037333
GMW000000035664001,432158.50806038216
GMW000000035665001,433213.61329647823
GMW000000035666001,436363.51811249566
GMW000000035667001,434602.56276424794
GMW000000035668001,433883.11823907547
GMW000000035669001,436717.65440178534
GMW000000035670001,433721.615404738
GMW000000035671001,439287.4360223664
GMW000000035672001,437002.9524363775
GMW000000035673001,436955.6209165368
GMW000000035674001,436926.35288260545
GMW000000035675001,437693.6208457309
GMW000000035676001,437602.13813823543
GMW000000035677001,437075.5367070512
GMW000000035678001,437437.83708650415
GMW000000035679001,438759.63484331977
GMW000000035680001,434838.3264592023
GMW000000035681001,437612.93232872325
GMW000000035682001,437875.8358520721
GMW000000035683001,436067.8287526662
GMW000000035684001,435520.32384960784
GMW000000035685001,435050.0273239899
GMW000000035686001,435581.92506257276
GMW000000035687001,436030.2242257574
GMW000000035688001,436740.4322398736
GMW000000035689001,436265.0321176661
GMW000000035690001,431911.60748098826
GMW000000035691001,431969.4054705063
GMW000000035692001,438112.52800103853
GMW000000035693001,442043.4244107872
GMW000000035694001,432501.90743349463
GMW000000035695001,432846.1098309933
GMW000000035696001,432268.91267085326
GMW000000035697001,432616.4055789979
GMW000000035698001,436547.35270559805
GMW000000035699001,434489.6964130705
GMW000000035700001,436308.6546337146
GMW000000035701001,434214.89595856285
GMW000000035702001,433906.9015344631
