date,x
GMW000000036004001,94705.04857670705
GMW000000036005001,94772.31060908441
GMW000000036006001,93569.78546645385
GMW000000036007001,93308.75501235791
GMW000000036008001,94986.45488505132
GMW000000036009001,94425.92168784495
GMW000000036010001,93157.24588798173
GMW000000036011001,93122.97494206809
GMW000000036012001,94991.02092850584
GMW000000036013001,94854.82952551263
GMW000000036014001,94052.52404976847
GMW000000036015001,94636.70775784877
GMW000000036016001,94633.79767075603
GMW000000036017001,94698.29054756218
GMW000000036018001,94993.84029793169
GMW000000036019001,94492.619045879
GMW000000036020001,94702.68063870566
GMW000000036021001,94148.17870056935
GMW000000036022001,94367.07878293275
GMW000000036023001,94120.67954484368
GMW000000036024001,94820.42281385748
GMW000000036025001,94395.89881550848
GMW000000036026001,93612.37768135726
GMW000000036027001,93670.95556265637
GMW000000036028001,93994.66222682534
GMW000000036029001,93619.9298895377
GMW000000036030001,93591.99567819198
GMW000000036031001,93791.7871281548
GMW000000036032001,93744.2502536281
GMW000000036033001,93519.8031295602
GMW000000036034001,93447.93901990232
GMW000000036035001,93407.43904920865
GMW000000036036001,93898.54663321067
GMW000000036037001,93388.00526764337
GMW000000036038001,93776.46672544017
GMW000000036039001,93744.97727439934
GMW000000036040001,93301.08447968654
GMW000000036041001,93307.67808808037
GMW000000036042001,93046.90705947994
GMW000000036043001,92994.66371439639
GMW000000036044001,92928.64286411866
GMW000000036045001,92457.53229497245
GMW000000036046001,92055.15114024497
GMW000000036047001,92997.28441251241
GMW000000036048001,92671.63352254921
GMW000000036049001,92491.33219220547
GMW000000036050001,92397.81344485261
GMW000000036051001,92930.69482838231
GMW000000036052001,92610.46215223116
GMW000000036053001,92801.15398623208
GMW000000036054001,92550.98207318565
GMW000000036055001,92837.49129868821
GMW000000036056001,92111.01130540657
GMW000000036057001,92941.2010035528
GMW000000036058001,92375.48196817518
GMW000000036059001,92260.84296930404
GMW000000036060001,92332.81092506817
GMW000000036061001,92442.47270686149
GMW000000036071001,90082.72936678055
GMW000000036072001,91900.85492916865
GMW000000036073001,91575.0741500512
GMW000000036074001,91967.92447443688
GMW000000036075001,91919.88427972852
GMW000000036076001,91401.88230422408
GMW000000036077001,91497.64282654182
GMW000000036078001,91357.85175830593
GMW000000036079001,91218.35243517041
GMW000000036080001,91676.90349328986
GMW000000036081001,91326.95926625465
GMW000000036082001,91848.6118058582
GMW000000036083001,90816.10929591404
GMW000000036084001,91778.57984195129
GMW000000036085001,91963.08103070915
GMW000000036086001,90867.41978115686
GMW000000036087001,90785.04951699713
GMW000000036088001,91837.26857278944
GMW000000036089001,91423.96904475435
GMW000000036090001,91352.02812912752
GMW000000036091001,91617.7007900615
GMW000000036092001,91361.63488560947
GMW000000036093001,91107.80490581415
GMW000000036094001,91118.26483939258
GMW000000036095001,91207.63431707889
GMW000000036096001,91166.23465811372
GMW000000036097001,91708.41494250493
GMW000000036098001,91774.50480068632
GMW000000036099001,91880.92828781987
GMW000000036100001,91590.33431135018
GMW000000036101001,91072.75227234705
GMW000000036102001,91411.13125685132
GMW000000036103001,91433.57173899244
GMW000000036104001,91946.91178347456
GMW000000036105001,91660.00197746645
GMW000000036106001,91793.10250140446
GMW000000036107001,91568.0997977597
GMW000000036108001,91660.36221250899
GMW000000036109001,91731.17290121186
GMW000000036110001,91840.11102489632
GMW000000036111001,91213.17331637317
GMW000000036112001,91800.90464707228
GMW000000036113001,91481.8144439838
GMW000000036114001,91780.81495701321
GMW000000036115001,91111.71125249047
GMW000000036116001,91611.34296157486
GMW000000036117001,91004.48073078938
GMW000000036118001,91872.81402752936
GMW000000036119001,91635.61368493164
GMW000000036120001,91301.85199655162
GMW000000036121001,91110.13124369236
GMW000000036122001,91818.16505349716
GMW000000036123001,91921.01529781871
GMW000000036124001,91221.41307703606
GMW000000036125001,91245.4142016125
GMW000000036126001,91822.4049619131
GMW000000036127001,91165.68341347497
GMW000000036128001,91462.23388715312
GMW000000036129001,91203.74289373893
GMW000000036130001,91202.77284583871
GMW000000036131001,91960.75228471421
GMW000000036132001,91855.25198999961
GMW000000036133001,91604.90342018538
GMW000000036142001,92406.51234793915
GMW000000036143001,92230.20647261447
GMW000000036144001,92690.82368070446
GMW000000036145001,92925.76811859797
GMW000000036146001,92747.86375028023
GMW000000036147001,92905.64431810801
GMW000000036148001,92672.80692093071
GMW000000036149001,92464.77618062761
GMW000000036150001,92901.68881173604
GMW000000036151001,92740.41842406106
GMW000000036152001,92142.36486098939
GMW000000036153001,92050.22448585977
GMW000000036154001,92226.91814397447
GMW000000036155001,92393.17794373757
GMW000000036156001,92364.1374231567
GMW000000036157001,92513.9781366355
GMW000000036158001,92449.73983643636
GMW000000036159001,92275.25702551921
GMW000000036160001,92623.29876232766
GMW000000036161001,92454.55894499505
GMW000000036162001,92306.19886023764
GMW000000036163001,92607.20041450272
GMW000000036164001,92303.37166856072
GMW000000036165001,92017.31281333207
GMW000000036166001,92775.57473661541
GMW000000036167001,92244.39142855184
GMW000000036168001,92232.78278407175
GMW000000036169001,92180.12621792345
GMW000000036170001,92582.45661722064
GMW000000036171001,92177.64374115132
GMW000000036172001,92665.1941482822
GMW000000036173001,92904.31707133117
GMW000000036174001,92567.03635571987
GMW000000036175001,92552.14549129883
GMW000000036176001,92411.4866601666
GMW000000036177001,92381.26480746921
GMW000000036178001,92065.1953247356
GMW000000036179001,92466.055416368
GMW000000036180001,92390.1077857264
GMW000000036181001,92206.01650076894
GMW000000036182001,92728.52645979056
GMW000000036183001,92858.52022419097
GMW000000036184001,92305.34607894627
GMW000000036185001,92233.63603007609
GMW000000036186001,92111.84587805632
GMW000000036187001,92954.0478582734
GMW000000036188001,92837.08970712614
GMW000000036189001,92551.50571931383
GMW000000036190001,92847.30965721002
GMW000000036191001,92108.19622294394
GMW000000036192001,92949.48079312599
GMW000000036193001,92186.19658362144
GMW000000036194001,92584.03812178549
GMW000000036195001,92371.65733124204
GMW000000036196001,92750.36710758143
GMW000000036197001,92951.6294888301
GMW000000036198001,92296.09679217348
GMW000000036199001,92036.20586403258
