date,unit
GMW000000035996001,m NAP
GMW000000035997001,m NAP
GMW000000035998001,m NAP
GMW000000035999001,m NAP
GMW000000036000001,m NAP
GMW000000036001001,m NAP
GMW000000036002001,m NAP
GMW000000036003001,m NAP
GMW000000036004001,m NAP
GMW000000036005001,m NAP
GMW000000036006001,m NAP
GMW000000036007001,m NAP
GMW000000036008001,m NAP
GMW000000036009001,m NAP
GMW000000036010001,m NAP
GMW000000036011001,m NAP
GMW000000036012001,m NAP
GMW000000036013001,m NAP
GMW000000036014001,m NAP
GMW000000036015001,m NAP
GMW000000036016001,m NAP
GMW000000036017001,m NAP
GMW000000036018001,m NAP
GMW000000036019001,m NAP
GMW000000036020001,m NAP
GMW000000036021001,m NAP
GMW000000036022001,m NAP
GMW000000036023001,m NAP
GMW000000036024001,m NAP
GMW000000036025001,m NAP
GMW000000036026001,m NAP
GMW000000036027001,m NAP
GMW000000036028001,m NAP
GMW000000036029001,m NAP
GMW000000036030001,m NAP
GMW000000036031001,m NAP
GMW000000036032001,m NAP
GMW000000036033001,m NAP
GMW000000036034001,m NAP
GMW000000036035001,m NAP
GMW000000036036001,m NAP
GMW000000036037001,m NAP
GMW000000036038001,m NAP
GMW000000036039001,m NAP
GMW000000036040001,m NAP
GMW000000036041001,m NAP
GMW000000036042001,m NAP
GMW000000036043001,m NAP
GMW000000036044001,m NAP
GMW000000036045001,m NAP
GMW000000036046001,m NAP
GMW000000036047001,m NAP
GMW000000036048001,m NAP
GMW000000036049001,m NAP
GMW000000036050001,m NAP
GMW000000036051001,m NAP
GMW000000036052001,m NAP
GMW000000036053001,m NAP
GMW000000036054001,m NAP
GMW000000036055001,m NAP
GMW000000036056001,m NAP
GMW000000036057001,m NAP
GMW000000036058001,m NAP
GMW000000036059001,m NAP
GMW000000036060001,m NAP
GMW000000036061001,m NAP
GMW000000036071001,m NAP
GMW000000036072001,m NAP
GMW000000036073001,m NAP
GMW000000036074001,m NAP
GMW000000036075001,m NAP
GMW000000036076001,m NAP
GMW000000036077001,m NAP
GMW000000036078001,m NAP
GMW000000036079001,m NAP
GMW000000036080001,m NAP
