date,source
GMW000000036091001,lizard
GMW000000036092001,lizard
GMW000000036093001,lizard
GMW000000036094001,lizard
GMW000000036095001,lizard
GMW000000036096001,lizard
GMW000000036097001,lizard
GMW000000036098001,lizard
GMW000000036099001,lizard
GMW000000036100001,lizard
GMW000000036101001,lizard
GMW000000036102001,lizard
GMW000000036103001,lizard
GMW000000036104001,lizard
GMW000000036105001,lizard
GMW000000036106001,lizard
GMW000000036107001,lizard
GMW000000036108001,lizard
GMW000000036109001,lizard
GMW000000036110001,lizard
GMW000000036111001,lizard
GMW000000036112001,lizard
GMW000000036113001,lizard
GMW000000036114001,lizard
GMW000000036115001,lizard
GMW000000036116001,lizard
GMW000000036117001,lizard
GMW000000036118001,lizard
GMW000000036119001,lizard
GMW000000036120001,lizard
GMW000000036121001,lizard
GMW000000036122001,lizard
GMW000000036123001,lizard
GMW000000036124001,lizard
GMW000000036125001,lizard
GMW000000036126001,lizard
GMW000000036127001,lizard
GMW000000036128001,lizard
GMW000000036129001,lizard
GMW000000036130001,lizard
GMW000000036131001,lizard
GMW000000036132001,lizard
GMW000000036133001,lizard
GMW000000036142001,lizard
GMW000000036143001,lizard
GMW000000036144001,lizard
GMW000000036145001,lizard
GMW000000036146001,lizard
GMW000000036147001,lizard
GMW000000036148001,lizard
GMW000000036149001,lizard
GMW000000036150001,lizard
GMW000000036151001,lizard
GMW000000036152001,lizard
GMW000000036153001,lizard
GMW000000036154001,lizard
GMW000000036155001,lizard
GMW000000036156001,lizard
GMW000000036157001,lizard
GMW000000036158001,lizard
GMW000000036159001,lizard
GMW000000036160001,lizard
GMW000000036161001,lizard
GMW000000036162001,lizard
GMW000000036163001,lizard
GMW000000036164001,lizard
GMW000000036165001,lizard
GMW000000036166001,lizard
GMW000000036167001,lizard
GMW000000036168001,lizard
GMW000000036169001,lizard
GMW000000036170001,lizard
GMW000000036171001,lizard
GMW000000036172001,lizard
GMW000000036173001,lizard
GMW000000036174001,lizard
GMW000000036175001,lizard
GMW000000036176001,lizard
GMW000000036177001,lizard
GMW000000036178001,lizard
GMW000000036179001,lizard
GMW000000036180001,lizard
GMW000000036181001,lizard
GMW000000036182001,lizard
GMW000000036183001,lizard
GMW000000036184001,lizard
GMW000000036185001,lizard
GMW000000036186001,lizard
GMW000000036187001,lizard
GMW000000036188001,lizard
GMW000000036189001,lizard
GMW000000036190001,lizard
GMW000000036191001,lizard
GMW000000036192001,lizard
GMW000000036193001,lizard
GMW000000036194001,lizard
GMW000000036195001,lizard
GMW000000036196001,lizard
GMW000000036197001,lizard
GMW000000036198001,lizard
GMW000000036199001,lizard
GMW000000036200001,lizard
GMW000000036201001,lizard
GMW000000036202001,lizard
GMW000000036203001,lizard
GMW000000036204001,lizard
GMW000000036205001,lizard
GMW000000036206001,lizard
GMW000000036207001,lizard
GMW000000036208001,lizard
GMW000000036209001,lizard
GMW000000036210001,lizard
GMW000000036211001,lizard
GMW000000036212001,lizard
GMW000000036213001,lizard
GMW000000036214001,lizard
GMW000000036215001,lizard
GMW000000036216001,lizard
GMW000000036217001,lizard
GMW000000036218001,lizard
GMW000000036219001,lizard
GMW000000036220001,lizard
GMW000000036221001,lizard
GMW000000036222001,lizard
GMW000000036223001,lizard
GMW000000036224001,lizard
GMW000000036225001,lizard
GMW000000036226001,lizard
GMW000000036227001,lizard
GMW000000036228001,lizard
GMW000000036229001,lizard
GMW000000036230001,lizard
GMW000000036231001,lizard
GMW000000036232001,lizard
GMW000000036233001,lizard
GMW000000036234001,lizard
GMW000000036235001,lizard
GMW000000036236001,lizard
GMW000000036237001,lizard
GMW000000036238001,lizard
GMW000000036239001,lizard
GMW000000036240001,lizard
GMW000000036241001,lizard
GMW000000036242001,lizard
GMW000000036243001,lizard
GMW000000036244001,lizard
GMW000000036245001,lizard
GMW000000036246001,lizard
GMW000000036247001,lizard
GMW000000036248001,lizard
GMW000000036249001,lizard
GMW000000036250001,lizard
GMW000000036251001,lizard
GMW000000036252001,lizard
GMW000000036253001,lizard
GMW000000036254001,lizard
GMW000000036255001,lizard
GMW000000036256001,lizard
GMW000000036257001,lizard
GMW000000036258001,lizard
GMW000000036259001,lizard
GMW000000036260001,lizard
